DISTRICT,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,SUP Total,SUP # Retained,SUP % Retained,PRNC Total,PRNC # Retained,PRNC % Retained,TCHR Total,TCHR # Retained,TCHR % Retained,Total FTE Memb,General Fund Appropriations,"Grants, Revolving & Other Funds",Total Expenditures,Expenditure Per Pupil,SATs Taken,SAT Reading,SAT Writing,SAT Math,EngNot1stLang#,EngNot1stLang%,EngLangLrn#,EngLangLrn%,Disab#,Disab%,HighNeeds#,HighNeeds%,EconDisadv#,EconDisadv%,# Graduated,# Completed MassCore,% Completed MassCore,SCI P+A #,SCI P+A %,SCI A#,SCI A %,SCI P#,SCI P %,SCI NI #,SCI NI %,SCI W/F #,SCI W/F %,SCI Stud. Incl. #,SCI CPI,SCI SGP,SCI Incl. in SGP(#),MTH P+A #,MTH P+A %,MTH A #,MTH A %,MTH P #,MTH P %,MTH NI #,MTH NI %,MTH W/F #,MTH W/F %,MTH Stud. Incl. #,MTH CPI,MTH SGP,MTH Incl. in SGP(#),ELA P+A #,ELA P+A %,ELA A #,ELA A %,ELA P #,ELA P %,ELA NI #,ELA NI %,ELA W/F #,ELA W/F %,ELA Stud. Incl. #,ELA CPI,ELA SGP,ELA Incl. in SGP(#)
Boston Collegiate Charter,26.3,2.2,16.1,52.6,0.7,0,2,46.2,53.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55,477,492,534,67,9.7,34,4.9,127,18.5,287,41.7,159,23.1,#N/A,#N/A,#N/A,142,52,58,21,84,31,109,40,24,9,275,79.1,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Boston Day and Evening Academy Charter,52.4,1.1,34.2,8.4,0.5,0.5,2.9,44.5,55.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,369,359,388,35,9.2,35,9.2,80,21.1,252,66.3,195,51.3,#N/A,#N/A,#N/A,2,20,0,0,2,20,7,70,1,10,10,62.5,N/A,N/A,4,15,56,5,19,10,37,8,30,4,15,27,78.7,N/A,3,23,88,6,23,17,65,3,12,0,0,26,96.2,N/A
Boston Green Academy Horace Mann Charter School,55.2,3.6,30.5,9.4,0.5,0,0.8,53.7,46.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45,384,389,412,156,39.7,63,16,113,28.8,285,72.5,192,48.9,#N/A,#N/A,#N/A,13,22,0,0,13,22,37,63,9,15,59,65.7,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Boston Preparatory Charter Public,68.3,0.3,25.3,3.1,0.8,0.3,2,46.8,53.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,39,447,429,511,62,15.9,33,8.4,67,17.1,211,54,137,35,#N/A,#N/A,#N/A,75,68,17,15,58,53,32,29,3,3,110,86.6,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Boston Renaissance Charter Public,65,0.8,29.6,1.5,0,0,3.1,48.3,51.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,198,21,60,6.4,102,10.8,530,56.1,429,45.4,#N/A,#N/A,#N/A,44,38,8,7,36,31,55,48,16,14,115,71.5,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bourne,1.3,1.9,3.3,88.6,0.6,0,4.2,52.2,47.8,1,1,100,4,4,100,159,133,83.6,"2,224.10","$29,043,852","$3,770,532","$32,814,384","$14,754",82,502,491,485,18,0.9,10,0.5,344,17.1,658,32.6,401,19.9,121,121,100,216,48,37,8,179,40,190,43,40,9,446,78.5,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Boxford,0.5,2.7,1.7,92.8,0,0.3,2,53.1,46.9,1,1,100,2,2,100,65,59,90.8,764.8,"$10,602,565","$962,714","$11,565,279","$15,122",#N/A,#N/A,#N/A,#N/A,14,1.9,6,0.8,130,17.3,148,19.7,15,2,#N/A,#N/A,#N/A,97,80,36,30,61,50,23,19,1,1,121,93,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Boylston,2.4,5.4,2.4,88.6,0,0,1.3,49.2,50.8,1,1,100,1,1,100,29,21,72.4,340.7,"$3,816,135","$470,920","$4,287,055","$12,583",#N/A,#N/A,#N/A,#N/A,17,5.7,7,2.4,36,12.1,66,22.2,24,8.1,#N/A,#N/A,#N/A,29,49,7,12,22,37,28,47,2,3,59,81.4,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Braintree,4.9,12.3,4.1,77.4,0.1,0,1.2,50.4,49.6,1,0,0,9,7,77.8,406,369,90.9,"5,810.40","$68,142,209","$7,731,644","$75,873,853","$13,058",344,521,517,546,552,9.7,221,3.9,"1,216",21.1,"2,015",35,877,15.4,362,351,97,928,73,320,25,608,48,267,21,76,6,1271,89.3,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brewster,2.5,1.5,5.4,88.1,0,0,2.5,52,48,1,1,100,2,1,50,48,46,95.8,477.9,"$9,544,229","$629,394","$10,173,623","$21,288",#N/A,#N/A,#N/A,#N/A,17,3.5,13,2.7,79,16.4,167,34.6,112,23.3,#N/A,#N/A,#N/A,50,78,21,33,29,45,10,16,4,6,64,91.8,N/A,N/A,130,150,69,65,30,85,39,47,22,20,9,217,85.9,60.5,131,142,65,23,11,119,55,58,27,18,8,218,85.4,38
Bridge Boston Charter School,57.7,1.6,33.9,0.5,0,0,6.3,46.6,53.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85,45,75,39.7,28,14.8,143,75.7,104,55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bridgewater-Raynham,3.4,1.4,2.7,88.8,0,0,3.7,51.5,48.5,1,1,100,7,7,100,334,303,90.7,"5,618.10","$61,246,136","$6,709,970","$67,956,106","$12,096",294,509,504,524,129,2.4,95,1.8,751,14,"1,309",24.5,633,11.9,386,386,100,804,64,169,13,635,50,403,32,57,5,1264,86,N/A,N/A,2450,2040,70,987,34,1053,36,626,21,263,9,2929,85.8,55,2434,2245,77,604,21,1641,56,549,19,132,5,2926,90.6,46
Brimfield,2.7,2.1,0.3,94.8,0,0,0,49.8,50.2,1,1,100,1,1,100,29,28,96.6,308.9,"$4,046,727","$684,040","$4,730,767","$15,315",#N/A,#N/A,#N/A,#N/A,0,0,0,0,36,12.4,78,26.8,48,16.5,#N/A,#N/A,#N/A,31,84,12,32,19,51,6,16,0,0,37,95.9,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bristol County Agricultural,0.7,1.1,2.2,95.1,0.2,0,0.7,29.5,70.5,1,0,0,1,0,0,35,34,97.1,#N/A,#N/A,#N/A,#N/A,#N/A,68,522,478,520,10,2.2,0,0,47,10.5,107,23.9,68,15.2,109,109,100,99,87,33,29,66,58,14,12,1,1,114,95.4,N/A,N/A,112,100,86,59,51,41,35,12,10,4,3,116,93.8,32,110,112,97,50,43,62,54,3,3,0,0,115,99.1,34
Bristol-Plymouth Regional Vocational Technical,3.3,0.6,5.5,87.2,0.5,0,2.8,57.5,42.5,1,1,100,1,1,100,96,93,96.9,#N/A,#N/A,#N/A,#N/A,#N/A,180,463,438,472,45,3.4,2,0.2,230,17.4,430,32.5,252,19.1,282,282,100,206,66,30,10,176,56,102,33,4,1,312,86.9,N/A,N/A,312,258,78,155,47,103,31,57,17,14,4,329,90.8,65,312,305,93,121,37,184,56,21,6,1,0,327,97.8,43
Brockton,55.2,2.3,14.9,22.5,0.4,0.2,4.4,51.9,48.1,1,0,0,22,20,90.9,"1,103","1,000",90.7,"17,397.60","$214,377,618","$29,807,474","$244,185,092","$14,036",664,428,415,436,"6,256",36.4,"3,441",20,"2,356",13.6,"10,953",63.3,"7,892",45.9,"1,046",207,19.8,1052,29,143,4,909,25,1535,43,1003,28,3590,64.2,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brooke Charter School East Boston,24.2,2.8,56.2,13.5,1.3,0,2,48.9,51.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,268,68.2,55,14,34,8.7,279,71,191,48.6,#N/A,#N/A,#N/A,47,84,13,23,34,61,8,14,1,2,56,94.6,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brooke Charter School Mattapan,69.1,1.1,24.8,3.3,0.7,0,1.1,52.4,47.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,186,40.4,23,5,44,9.6,294,63.9,219,47.6,#N/A,#N/A,#N/A,49,61,10,13,39,49,26,33,5,6,80,84.7,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brooke Charter School Roslindale,69.2,1.4,24.1,1.2,0,0,4.2,48.8,51.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,78,15.4,4,0.8,36,7.1,220,43.5,190,37.5,#N/A,#N/A,#N/A,57,64,18,20,39,44,28,31,4,4,89,85.4,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brookfield,0.3,0,6,89.2,0,0,4.5,50.2,49.8,1,1,100,1,1,100,26,21,80.8,324.6,"$3,380,267","$596,442","$3,976,709","$12,251",#N/A,#N/A,#N/A,#N/A,1,0.3,1,0.3,42,12.6,105,31.5,75,22.5,#N/A,#N/A,#N/A,28,60,10,21,18,38,16,34,3,6,47,84.6,N/A,N/A,132,119,66,48,27,71,39,47,26,15,8,181,85.2,62.5,133,122,67,18,10,104,57,39,21,22,12,183,84.7,47
Brookline,5.9,18.9,10,56.3,0,0.1,8.8,50.2,49.8,1,1,100,10,10,100,627,538,85.8,"7,344.80","$112,887,788","$14,109,403","$126,997,191","$17,291",420,589,589,616,"2,259",30.1,732,9.7,"1,233",16.3,"2,413",31.9,566,7.5,393,358,91.1,1078,71,406,27,672,44,350,23,88,6,1516,88.3,N/A,N/A,2581,2865,78,1790,49,1075,29,524,14,263,7,3652,89.7,59,2472,3051,84,1221,33,1830,50,451,12,149,4,3651,93.1,59
Burlington,4.9,14.3,4.2,72.6,0.5,0.1,3.3,51.5,48.5,1,1,100,7,6,85.7,307,280,91.2,"3,643.00","$59,408,097","$5,074,345","$64,482,442","$17,700",216,533,527,550,496,14.2,96,2.7,474,13.2,864,24.1,345,9.9,259,259,100,451,56,96,12,355,44,292,36,62,8,805,82.5,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cambridge,28,12.4,13.5,39,0.4,0.2,6.4,50.5,49.5,1,1,100,20,20,100,609,542,89,"6,922.40","$175,611,942","$12,418,731","$188,030,673","$27,163",350,539,529,537,"1,853",28.3,539,8.2,"1,366",20.5,"3,112",46.6,"1,813",27.7,395,340,86.1,649,55,260,22,389,33,371,31,160,14,1180,78.8,N/A,N/A,2134,1783,63,1023,36,760,27,633,22,436,15,2852,81.2,50,2118,2021,71,712,25,1309,46,598,21,235,8,2854,88,54
Canton,10.2,9.3,3.6,72.9,0.1,0.2,3.7,49.8,50.2,1,1,100,6,6,100,235,215,91.5,"3,317.50","$42,360,989","$5,049,074","$47,410,063","$14,291",200,525,520,541,133,4,53,1.6,437,12.9,762,22.6,341,10.3,209,179,85.6,507,68,184,25,323,43,194,26,46,6,747,86.4,N/A,N/A,1461,1298,71,714,39,584,32,376,21,148,8,1822,86.5,47,1455,1479,81,483,27,996,55,269,15,68,4,1816,92.5,51
Cape Cod Lighthouse Charter,1.7,1.7,2.9,89.6,0,0,4.2,47.1,52.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,36,15,56,23.3,28,11.7,#N/A,#N/A,#N/A,44,56,1,1,43,54,30,38,5,6,79,83.5,N/A,N/A,227,158,67,79,33,79,33,54,23,25,11,237,83.3,46,223,207,88,65,28,142,61,24,10,3,1,234,95.8,49
Cape Cod Regional Vocational Technical,4.9,0.5,9.1,79.1,1.4,0,4.9,60.3,39.7,1,1,100,1,1,100,71,57,80.3,#N/A,#N/A,#N/A,#N/A,#N/A,48,453,423,460,16,2.5,13,2,171,26.4,328,50.7,198,30.6,134,130,97,96,69,18,13,78,56,37,27,6,4,139,88.1,N/A,N/A,142,119,77,59,38,60,39,27,18,8,5,154,90.1,63,144,140,89,29,18,111,71,17,11,0,0,157,96.8,40
Carlisle,0.8,10.3,2.7,78,0,0,8.3,52.9,47.1,1,0,0,2,1,50,60,58,96.7,642.1,"$10,530,988","$836,541","$11,367,529","$17,704",#N/A,#N/A,#N/A,#N/A,32,5,8,1.2,104,16,124,19.1,8,1.2,#N/A,#N/A,#N/A,140,86,45,28,95,59,19,12,3,2,162,95.1,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Carver,1.2,0.1,1,96.8,0.1,0.2,0.6,51,49,1,1,100,2,2,100,127,115,90.6,"1,812.00","$21,541,514","$2,180,987","$23,722,501","$13,092",67,508,500,521,6,0.4,3,0.2,310,18.7,516,31.1,279,17,115,115,100,147,44,28,8,119,35,165,49,25,7,337,78,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Central Berkshire,0.9,0.8,3,92.6,0.1,0,2.6,51,49,1,1,100,6,6,100,150,140,93.3,"1,886.80","$25,532,988","$2,346,132","$27,879,120","$14,776",119,525,513,520,10,0.6,5,0.3,238,13.8,589,34.1,426,24.7,123,68,55.3,238,55,71,16,167,39,156,36,38,9,432,81.5,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chelmsford,1.7,12.1,4,80.1,0.1,0.1,1.8,50.9,49.1,1,1,100,8,8,100,349,309,88.5,"5,314.60","$60,856,017","$5,238,931","$66,094,948","$12,436",352,528,513,553,481,9.5,132,2.6,838,16.3,"1,255",24.4,404,8,372,372,100,793,70,257,23,536,47,293,26,53,5,1139,88.5,N/A,N/A,2155,2087,76,1213,44,874,32,461,17,193,7,2741,89.5,60,2104,2223,81,887,32,1336,49,395,14,122,4,2740,92.7,57
Chelsea,6.4,1.8,83,7.7,0.2,0,0.8,52.2,47.8,1,1,100,9,9,100,411,328,79.8,"6,659.80","$78,065,566","$13,279,753","$91,345,319","$13,716",143,425,412,452,"5,089",80.1,"1,530",24.1,812,12.5,"4,541",70,"3,032",47.7,255,5,2,244,23,31,3,213,20,459,44,340,33,1043,58.3,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chesterfield-Goshen,0,0.7,1.3,96.1,0.7,0,1.3,50.3,49.7,1,1,100,1,1,100,17,15,88.2,169,"$2,152,324","$96,061","$2,248,385","$13,304",#N/A,#N/A,#N/A,#N/A,0,0,0,0,23,15,50,32.7,32,20.9,#N/A,#N/A,#N/A,6,24,1,4,5,20,15,60,4,16,25,69,N/A,N/A,66,44,51,19,22,25,29,36,41,7,8,87,78.2,46,66,53,61,11,13,42,48,33,38,1,1,87,87.4,45
Chicopee,3.2,2.3,34.1,57.5,0.1,0.1,2.7,52.2,47.8,1,1,100,15,13,86.7,627,574,91.5,"7,921.40","$94,866,088","$11,820,788","$106,686,876","$13,468",290,483,467,485,"1,052",13.4,364,4.6,"1,457",18.5,"4,597",58.4,"3,797",48.4,529,211,39.9,650,40,89,5,561,34,718,44,259,16,1627,72.4,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Christa McAuliffe Charter Public (District),5,6.5,10.4,75.2,0.7,0,2.2,50.1,49.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,46,11.4,17,4.2,84,20.8,138,34.2,58,14.4,#N/A,#N/A,#N/A,55,47,3,3,52,44,50,43,12,10,117,76.3,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City on a Hill Charter Public School Circuit Street (District),62.7,1.4,32.8,1.7,0.3,0.3,0.7,46.7,53.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55,406,397,463,85,29.6,20,7,61,21.3,188,65.5,142,49.5,#N/A,#N/A,#N/A,57,85,8,12,49,73,9,13,1,1,67,95.1,N/A,N/A,51,66,96,37,54,29,42,3,4,0,0,69,98.9,85,51,69,100,22,32,47,68,0,0,0,0,69,100,68
City on a Hill Charter Public School Dudley Square (District),70.3,1.6,24.5,2.1,0,0,1.6,45.8,54.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28,14.6,19,9.9,43,22.4,123,64.1,89,46.4,#N/A,#N/A,#N/A,36,80,3,7,33,73,8,18,1,2,45,92.8,N/A,N/A,47,46,87,19,36,27,51,7,13,0,0,53,95.3,75,48,53,100,9,17,44,83,0,0,0,0,53,100,60
City on a Hill Charter Public School New Bedford (District),17,1.1,37.5,30.7,1.1,0,12.5,46.6,53.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,12.5,8,9.1,30,34.1,70,79.5,56,63.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Clarksburg,0.6,0.6,2.4,94.6,0,0,1.8,50,50,1,1,100,1,1,100,16,14,87.5,223.4,"$2,734,025","$322,649","$3,056,674","$13,683",#N/A,#N/A,#N/A,#N/A,0,0,0,0,38,22.5,69,40.8,50,29.8,#N/A,#N/A,#N/A,12,27,0,0,12,27,27,60,6,13,45,70,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Clinton,3.8,1.7,22.6,70.5,0.1,0,1.4,53,47,1,1,100,3,2,66.7,127,110,86.6,"2,214.50","$22,793,387","$3,962,594","$26,755,981","$12,082",85,484,457,474,391,21,143,7.7,397,20.8,905,47.5,588,31.5,98,63,64.3,157,44,30,8,127,36,149,42,49,14,355,74.9,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Codman Academy Charter Public (District),80.4,0.4,18.1,1.1,0,0,0,46.3,53.7,1,1,100,1,1,100,18,10,55.6,#N/A,#N/A,#N/A,#N/A,#N/A,29,414,380,436,58,21.5,19,7,58,21.5,178,65.9,132,48.9,34,34,100,8,14,1,2,7,12,40,70,9,16,57,57,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cohasset,3.3,1.7,0.9,93.1,0.2,0,0.7,51.6,48.4,1,1,100,3,3,100,116,94,81,"1,632.60","$20,425,931","$2,288,494","$22,714,425","$13,913",82,557,539,541,1,0.1,1,0.1,187,11.5,246,15.2,70,4.4,103,103,100,268,73,69,19,199,54,87,24,13,4,368,89.8,N/A,N/A,753,694,75,349,38,345,38,172,19,54,6,920,89.2,43,755,803,87,261,28,542,59,97,11,20,2,920,95.3,58
Community Charter School of Cambridge,61.6,4,24.4,3.5,1.5,0.5,4.5,47.2,52.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,54,436,463,510,78,19.6,5,1.3,88,22.1,202,50.8,135,33.9,#N/A,#N/A,#N/A,76,60,17,13,59,47,42,33,8,6,126,82.9,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Community Day Charter Public School - Gateway,1,1,94,3.5,0,0,0.5,53.5,46.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,165,82.5,146,73,19,9.5,170,85,110,55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N/A,32,82,16,41,16,41,7,18,0,0,39,92.9,N/A,N/A,23,59,6,15,17,44,15,38,1,3,39,85.3,N/A
Community Day Charter Public School - Prospect,1.5,0.8,93,4.8,0,0,0,50.5,49.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,309,77.3,155,38.8,37,9.3,272,68,190,47.5,#N/A,#N/A,#N/A,53,79,10,15,43,64,14,21,0,0,67,93.3,N/A,N/A,180,181,81,87,39,94,42,40,18,2,1,223,93,52,180,173,78,51,23,122,55,47,21,3,1,223,92.4,57
